series_id,series_label,best_year,summed_value,quarters_available,status
PRS84006131,Business | All workers | Unit nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted,1975,57.300000,4,ok
PRS84006132,Business | All workers | Unit nonlabor payments | % Change from previous quarter | Seasonal Adjusted,1950,50.900000,4,ok
PRS84006133,Business | All workers | Unit nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,531.849000,4,ok
PRS84006141,Business | All workers | Value-added output price deflator | % Change same quarter 1 year ago | Seasonal Adjusted,1974,39.200000,4,ok
PRS84006142,Business | All workers | Value-added output price deflator | % Change from previous quarter | Seasonal Adjusted,1974,46.100000,4,ok
PRS84006143,Business | All workers | Value-added output price deflator | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,509.156000,4,ok
PRS84006151,Business | All workers | Real hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted,2020,26.500000,4,ok
PRS84006152,Business | All workers | Real hourly compensation | % Change from previous quarter | Seasonal Adjusted,2020,35.200000,4,ok
PRS84006153,Business | All workers | Real hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,440.905000,4,ok
PRS84006161,Business | All workers | Output per worker | % Change same quarter 1 year ago | Seasonal Adjusted,1950,34.500000,4,ok
PRS84006162,Business | All workers | Output per worker | % Change from previous quarter | Seasonal Adjusted,1950,37.500000,4,ok
PRS84006163,Business | All workers | Output per worker | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,462.732000,4,ok
PRS84006171,Business | All workers | Labor share | % Change same quarter 1 year ago | Seasonal Adjusted,1956,11.700000,4,ok
PRS84006172,Business | All workers | Labor share | % Change from previous quarter | Seasonal Adjusted,2020,15.300000,4,ok
PRS84006173,Business | All workers | Labor share | Index (2017=100) | Seasonal Adjusted | Index base: 2017,1947,465.776000,4,ok
PRS85006011,Nonfarm Business | All workers | Employment | % Change same quarter 1 year ago | Seasonal Adjusted,1978,22.200000,4,ok
PRS85006012,Nonfarm Business | All workers | Employment | % Change from previous quarter | Seasonal Adjusted,1950,24.700000,4,ok
PRS85006013,Nonfarm Business | All workers | Employment | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,431.282000,4,ok
PRS85006021,Nonfarm Business | All workers | Average weekly hours | % Change same quarter 1 year ago | Seasonal Adjusted,1964,5.700000,4,ok
PRS85006022,Nonfarm Business | All workers | Average weekly hours | % Change from previous quarter | Seasonal Adjusted,2010,6.000000,4,ok
PRS85006023,Nonfarm Business | All workers | Average weekly hours | Index (2017=100) | Seasonal Adjusted | Index base: 2017,1947,469.335000,4,ok
PRS85006031,Nonfarm Business | All workers | Hours worked | % Change same quarter 1 year ago | Seasonal Adjusted,1984,24.400000,4,ok
PRS85006032,Nonfarm Business | All workers | Hours worked | % Change from previous quarter | Seasonal Adjusted,1950,30.500000,4,ok
PRS85006033,Nonfarm Business | All workers | Hours worked | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,422.299000,4,ok
PRS85006041,Nonfarm Business | All workers | Real value-added output | % Change same quarter 1 year ago | Seasonal Adjusted,1950,40.500000,4,ok
PRS85006042,Nonfarm Business | All workers | Real value-added output | % Change from previous quarter | Seasonal Adjusted,1950,61.700000,4,ok
PRS85006043,Nonfarm Business | All workers | Real value-added output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,498.113000,4,ok
PRS85006051,Nonfarm Business | All workers | Value-added output | % Change same quarter 1 year ago | Seasonal Adjusted,1951,58.500000,4,ok
PRS85006052,Nonfarm Business | All workers | Value-added output | % Change from previous quarter | Seasonal Adjusted,1950,79.300000,4,ok
PRS85006053,Nonfarm Business | All workers | Value-added output | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,633.482000,4,ok
PRS85006061,Nonfarm Business | All workers | Labor compensation | % Change same quarter 1 year ago | Seasonal Adjusted,1978,56.900000,4,ok
PRS85006062,Nonfarm Business | All workers | Labor compensation | % Change from previous quarter | Seasonal Adjusted,1950,71.200000,4,ok
PRS85006063,Nonfarm Business | All workers | Labor compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,611.716000,4,ok
PRS85006081,Nonfarm Business | All workers | Nonlabor payments | % Change same quarter 1 year ago | Seasonal Adjusted,2021,64.600000,4,ok
PRS85006082,Nonfarm Business | All workers | Nonlabor payments | % Change from previous quarter | Seasonal Adjusted,1950,94.300000,4,ok
PRS85006083,Nonfarm Business | All workers | Nonlabor payments | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,661.759000,4,ok
PRS85006091,Nonfarm Business | All workers | Labor productivity (output per hour) | % Change same quarter 1 year ago | Seasonal Adjusted,1950,26.600000,4,ok
PRS85006092,Nonfarm Business | All workers | Labor productivity (output per hour) | % Change from previous quarter | Seasonal Adjusted,1950,29.100000,4,ok
PRS85006093,Nonfarm Business | All workers | Labor productivity (output per hour) | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,471.806000,4,ok
PRS85006101,Nonfarm Business | All workers | Hourly compensation | % Change same quarter 1 year ago | Seasonal Adjusted,1980,42.900000,4,ok
PRS85006102,Nonfarm Business | All workers | Hourly compensation | % Change from previous quarter | Seasonal Adjusted,1980,44.500000,4,ok
PRS85006103,Nonfarm Business | All workers | Hourly compensation | Index (2017=100) | Seasonal Adjusted | Index base: 2017,2025,579.410000,4,ok
